0,230,460
0.4542,0.6011,0.4101
1.623,0.3835,0.83
0.5758,0.3274,0.6937
1.1713,0.4503,0.6759
1.6394,0.4137,0.31
1.5052,0.4611,0.6261
1.849,0.3897,0.355
0.3226,0.6276,3.4499
1.7347,0.4205,0.3651
2.8354,0.3528,0.4065
1.6298,0.3425,0.3608
1.1168,0.5362,0.3493
0.4196,0.4936,0.5202
1.3782,0.3752,0.5301
1.0527,0.3479,0.5094
1.2376,0.6754,0.3815
0.5037,0.4289,0.6712
0.8075,0.3733,0.36
0.4648,0.4634,4.2636
1.1574,0.4488,0.33
2.2238,0.6754,0.4621
1.9144,0.3817,0.3338
0.3852,0.3653,0.4044
3.6034,0.4448,0.5321
1.7429,0.5008,0.3426
0.6424,0.3436,0.3699
2.7863,0.3449,0.4421
0.6877,0.5811,0.3359
1.3002,0.3161,0.3632
3.1396,0.5142,0.4481
0.8355,0.3371,0.3801
2.3024,0.3381,0.4483
0.5166,0.3534,0.3266
2.3008,0.3741,0.3536
1.2602,0.3588,0.3903
1.294,0.3995,0.355
4.634,0.4501,0.393
0.8662,0.466,0.398
1.3617,0.5177,0.4737
0.486,0.3665,0.377
0.9945,0.4979,0.3924
0.3926,0.4278,0.44
4.297,0.3495,0.375
1.9604,0.4545,0.3614
1.5015,0.6117,0.3871
2.1757,0.4222,0.3203
1.2967,0.3286,0.5874
6.2841,0.4766,0.5135
0.457,0.3545,0.346
0.9485,0.3217,0.3523
0.3989,0.294,0.357
0.9846,0.3141,0.3403
1.0186,0.4125,0.7332
0.8095,0.3027,0.3063
0.6631,0.3766,0.38
0.361,0.3686,0.416
0.463,0.2893,0.39
2.6343,0.387,0.3403
1.3231,0.6284,0.3207
0.451,0.4972,0.3642
1.3767,0.4932,0.3786
4.334,0.3623,0.3547
2.2081,0.3809,0.3349
7.8795,0.6872,0.4244
1.1157,0.3214,0.3177
1.6461,0.5037,0.3903
1.084,1.8703,0.4002
0.488,0.7392,0.5856
0.7631,1.1836,0.4279
0.5846,0.4856,0.4872
2.3485,0.6585,0.4253
0.6725,0.5261,0.3654
1.3543,0.6128,0.4165
2.16,0.9162,0.3097
0.3678,0.4614,0.5069
0.5611,0.3906,0.4521
0.725,0.362,0.5626
0.4078,,0.4268
0.3943,,0.5945
0.3459,,0.5857
0.757,,
0.338,,
0.3496,,