Molecule			Adatom		
Sample bias (V)	(dI/dV)/(I/V)	Error	Sample bias (V)	(dI/dV)/(I/V)	Error
0.070585356	0.069242705	0.012357306	0.070452149	0.094724054	0.005099845
0.079568303	0.085238063	0.015186558	0.079711427	0.120313614	0.005069727
0.090952706	0.104830884	0.018980124	0.09097214	0.155888918	0.006093671
0.100882543	0.126604495	0.02367768	0.100859257	0.188876384	0.00682244
0.109907057	0.155505167	0.028361348	0.110219614	0.228177903	0.009741951
0.1209698	0.184930929	0.033548751	0.121216357	0.270432889	0.009129697
0.1312432	0.22527317	0.037947583	0.1312068	0.319090071	0.010108161
0.140356214	0.258641668	0.04225532	0.140567457	0.376896636	0.010046629
0.149972686	0.296065303	0.050341069	0.150874629	0.429720078	0.010683067
0.161487657	0.343735262	0.058645106	0.161486257	0.493531308	0.010360042
0.170956086	0.391781391	0.064379068	0.170748386	0.550007594	0.011227856
0.179888614	0.432384815	0.071503943	0.180522871	0.620038643	0.012804103
0.191735886	0.489093825	0.07968847	0.191731671	0.697144575	0.013028015
0.2012497	0.534347708	0.087011781	0.2011079	0.774810892	0.013982339
0.2104212	0.588055498	0.094139572	0.210349157	0.844327507	0.012758507
0.221716457	0.649951511	0.10167827	0.2217269	0.93309063	0.014575081
0.2314503	0.71090843	0.10728253	0.231318543	1.008794084	0.016883911
0.2406687	0.758883433	0.11449736	0.240603114	1.081089895	0.019649536
0.251901329	0.823164386	0.120167537	0.251887314	1.164657717	0.018404829
0.261772529	0.87668238	0.127253591	0.261649971	1.229437034	0.019612279
0.271118	0.93663881	0.131221582	0.271142771	1.300616328	0.019061944
0.281871957	1.002737506	0.133899143	0.282150571	1.377947289	0.022177677
0.292139443	1.060445405	0.133769036	0.292163914	1.450110746	0.021839255
0.3013641	1.104986695	0.136056548	0.301312657	1.506553063	0.021070644
0.311192557	1.156685392	0.140035502	0.311749229	1.572194504	0.019048459
0.322390686	1.201558398	0.140134452	0.322344943	1.621562959	0.020688811
0.331844757	1.241558079	0.141199677	0.3316253	1.666291501	0.020782434
0.340755829	1.266223753	0.14324365	0.340925114	1.700471255	0.023013694
0.352617757	1.294421852	0.147340622	0.352631829	1.737544674	0.023369807
0.362071257	1.319711955	0.149247807	0.361987014	1.752368671	0.025646709
0.371169057	1.333877305	0.148525584	0.371114414	1.769471164	0.028323571
0.382404814	1.355280262	0.14717692	0.382393571	1.790763586	0.026848849
0.392133443	1.369503787	0.147461687	0.3918024	1.801989585	0.027199501
0.4009002	1.369310734	0.14307495	0.401132971	1.812163705	0.028598594
0.412428057	1.37951805	0.141667127	0.412437743	1.817122327	0.027864589
0.422318514	1.374971111	0.140734853	0.4222702	1.821081517	0.027124848
0.431353186	1.369552925	0.14015308	0.431559857	1.819256342	0.028566915
0.442399443	1.372859687	0.138497617	0.442681957	1.825034812	0.026156179
0.452697929	1.369892751	0.136405981	0.452651857	1.814063421	0.027257122
0.461797471	1.35290254	0.133005344	0.461850257	1.796837547	0.026796984
0.472339629	1.344814626	0.132614637	0.472286171	1.782239227	0.025418781
0.4829279	1.331967698	0.130109833	0.482929257	1.763057634	0.027854023
0.4923625	1.320813043	0.125266521	0.492203229	1.734238591	0.029379755
0.501320414	1.28918297	0.121172081	0.501466414	1.700447203	0.029046905
0.513161671	1.278662251	0.117132218	0.513152586	1.676989628	0.030064395
0.522653186	1.251039514	0.114526725	0.522695643	1.648909245	0.029641809
0.531872314	1.236807341	0.110093385	0.531812771	1.622986292	0.029126291
0.543184871	1.216309589	0.105898686	0.543190686	1.591614746	0.029790524
0.552938557	1.194550345	0.100850454	0.552793557	1.568408317	0.027886312
0.562119971	1.166883031	0.097625123	0.562033757	1.528493811	0.029503332
0.5733279	1.146027813	0.092915453	0.573329971	1.498811247	0.026988922
0.583229571	1.116500655	0.09242532	0.583151843	1.452935123	0.027544517
0.592428729	1.097737433	0.085548959	0.592368886	1.416411953	0.025873538
0.6033265	1.082849022	0.080957424	0.603579757	1.374416334	0.027621233
0.613593686	1.066824325	0.074153694	0.613606786	1.335811906	0.02570339
0.622998086	1.042181077	0.069504453	0.622841729	1.279640376	0.026536637
0.633233471	1.018732446	0.065045115	0.632930071	1.239913587	0.023329365
0.643818586	1.005235959	0.058515285	0.643811914	1.197906028	0.023672273
0.6532747	0.98768304	0.051976086	0.653011114	1.154082923	0.02503242
0.662421443	0.967447795	0.046423409	0.662654214	1.112194732	0.02359814
0.674060971	0.952753642	0.040418188	0.6740752	1.073072246	0.022871728
0.683504914	0.941737416	0.037150317	0.683547257	1.027586384	0.023671561
0.692739343	0.935688307	0.040990442	0.692663086	0.981000194	0.023940501
0.703971243	0.934949746	0.041278592	0.703980714	0.936199205	0.023845887
0.7136731	0.927548932	0.047972818	0.713616857	0.892380704	0.023955099
0.722518029	0.925468843	0.051474199	0.722679129	0.854627014	0.020052358
0.734013514	0.937076037	0.059462849	0.7340123	0.811701694	0.018852616
0.743906043	0.943494551	0.066008559	0.743742457	0.780417941	0.018831246
0.753144614	0.963572949	0.076281008	0.7531205	0.746570195	0.015554479
0.7642471	0.987645656	0.085925394	0.764255657	0.725123325	0.014149288
0.774280229	0.99940084	0.094971385	0.774237743	0.695262546	0.013844634
0.783323657	1.016417991	0.105100886	0.7834952	0.660407085	0.014036627
0.793844414	1.033227289	0.113766665	0.793871643	0.630939022	0.012566434
0.804471286	1.048906983	0.122522165	0.804456343	0.597705251	0.01402245
0.813976914	1.069806659	0.133941195	0.813784586	0.564368906	0.011733422
0.823164629	1.092844098	0.142248104	0.823376786	0.533601371	0.013379761
0.834710071	1.11851959	0.15003363	0.834725443	0.509548165	0.011777889
0.844235886	1.154323432	0.157509731	0.844278529	0.48949994	0.011594018
0.853473543	1.192979931	0.164216668	0.853627043	0.486980379	0.010980512
0.864798286	1.238872818	0.173047805	0.864802743	0.48149379	0.012089974
0.8744634	1.283151055	0.176746564	0.874414929	0.473837864	0.012725089
0.883409757	1.32037339	0.179161999	0.8833481	0.473733973	0.011910197
0.8948754	1.362474604	0.18169767	0.894895757	0.490011997	0.013190507
0.904805657	1.413093782	0.183967492	0.904765443	0.511118059	0.01413496
0.913800671	1.461807842	0.188044789	0.913784843	0.534331107	0.01517005
0.924858729	1.523669166	0.189681806	0.925105157	0.553812528	0.015429651
0.935120857	1.570974416	0.190473975	0.935125671	0.56521686	0.01482235
0.944296514	1.620844497	0.188914694	0.94438	0.601975517	0.009298606
0.954775857	1.678004112	0.188576786	0.954751786	0.618900676	0.011059951
0.965319271	1.719447619	0.186599314	0.965346614	0.64528033	0.009301798
0.974906329	1.765437136	0.190058661	0.974550771	0.665090359	0.010719622
0.983784914	1.807978045	0.186298944	0.983985157	0.706214938	0.010265344
0.995596186	1.852870377	0.184373351	0.9955917	0.749885498	0.013606735
1.005209429	1.898283994	0.180649299	1.005085	0.809606229	0.016758959
1.014304	1.94533759	0.174864591	1.014251	0.852684835	0.019933509
1.025563571	1.994245728	0.172004075	1.025583429	0.913109653	0.020552368
1.035123714	2.039481344	0.164235371	1.035121857	0.953662773	0.021240956
1.044236429	2.069079575	0.160633669	1.044426571	1.006786013	0.022629265
1.055134	2.119791325	0.158316758	1.055402857	1.06241696	0.022745711
1.065317857	2.165500547	0.160107454	1.065223	1.113649185	0.020483674
1.074591857	2.224424924	0.159803805	1.074236714	1.174162841	0.022511921
1.085379	2.264623236	0.166510926	1.085646714	1.234444315	0.020884451
1.095658	2.293838127	0.164829274	1.095649	1.287908773	0.022670143
1.104959714	2.333664227	0.168936216	1.104888857	1.329065409	0.026096069
1.114994	2.359603593	0.166695104	1.115526	1.363791708	0.023683094
1.125850571	2.384230241	0.165844456	1.125813143	1.386145354	0.027245978
1.135356571	2.394136476	0.159825454	1.135090286	1.43649548	0.028629801
1.144505	2.395218634	0.161822227	1.144718571	1.466406543	0.03128211
1.156101429	2.413749272	0.15995245	1.156107286	1.499943847	0.030964226
1.165606571	2.437334216	0.165003787	1.165666571	1.527296857	0.034581868
1.174890429	2.421145928	0.162665673	1.174788	1.560392166	0.036420401
1.186254143	2.438540751	0.163499346	1.186231	1.594086522	0.036081277
1.195924571	2.442404082	0.169141652	1.195862857	1.620878102	0.040014143
1.204844714	2.451273289	0.166577131	1.204946857	1.6341371	0.037133293
1.216265857	2.458923787	0.16744433	1.216282	1.633979873	0.043334713
1.226197714	2.445669539	0.165470808	1.226111	1.646552303	0.041266304
1.235610571	2.447208858	0.164242398	1.235354143	1.635773035	0.041956777
1.246246714	2.458342492	0.164379118	1.246505857	1.645943322	0.037121474
1.256564429	2.457151974	0.166145673	1.256543571	1.645808208	0.039702112
1.265760429	2.454769812	0.155700583	1.265788	1.630870494	0.03661763
1.275596	2.452917097	0.153854201	1.276447429	1.602533304	0.047368541
1.286761	2.456569988	0.151946251	1.286758286	1.60661854	0.045876116
1.296237571	2.476007071	0.148824826	1.295987	1.588987204	0.049685291
1.305167714	2.464497466	0.145779731	1.305369429	1.581374089	0.046211087
1.317016286	2.482592701	0.143734574	1.317004857	1.574340047	0.049179612
1.326604571	2.482947083	0.140355183	1.326539	1.547493362	0.049922141
1.335626857	2.484934622	0.136282146	1.335585714	1.548316795	0.046219455
1.347307857	2.501024449	0.138936112	1.347317857	1.539993446	0.043766692
1.357017	2.510954477	0.130149633	1.357007714	1.540610191	0.045826361
1.366252143	2.527221359	0.135812907	1.366105143	1.525600893	0.048417398
1.377516571	2.552734058	0.13217776	1.377516143	1.538248371	0.040446086
1.387468286	2.581099923	0.13484664	1.387336571	1.520978825	0.039550094
1.396660429	2.603042374	0.134524917	1.396575143	1.526760358	0.036561268
1.407192857	2.635002689	0.136667711	1.407441286	1.501438853	0.041972447
1.417833429	2.660664632	0.136320324	1.417798286	1.503406178	0.041934658
1.427053286	2.683048009	0.13970658	1.426927429	1.444955658	0.046796989
1.437437571	2.699650637	0.140698843	1.437405286	1.440292272	0.041571076
1.448003143	2.722706236	0.142208114	1.447968143	1.404898594	0.041465536
1.457438286	2.744658932	0.145775396	1.457179429	1.398744011	0.054980497
1.466668714	2.778200225	0.140587199	1.466596286	1.393341419	0.052019201
1.478236143	2.812284732	0.145376603	1.478240714	1.401824472	0.053766161
1.487772857	2.839935621	0.144428887	1.487778429	1.40726552	0.051628757
1.496755143	2.881026722	0.147474221	1.496966429	1.434392045	0.050606643
1.508383571	2.912521908	0.14479045	1.508385571	1.42811011	0.057102597
1.518028857	2.949414702	0.147781486	1.518069	1.445854307	0.061126221
1.527399286	2.97960339	0.148315342	1.527172429	1.477074824	0.054996388
1.538377286	3.027617505	0.153829612	1.538373857	1.508818475	0.050330228
1.548337429	3.069495484	0.158789239	1.548253571	1.552213989	0.048922163
1.557553857	3.100451557	0.165920542	1.557455	1.561674288	0.045806152
1.568329	3.117659327	0.17232198	1.568599571	1.571092514	0.041749627
1.578690143	3.154580804	0.179117007	1.578611	1.59187122	0.035319505
1.587796571	3.17083753	0.181364443	1.588029571	1.593859707	0.036361924
1.598008143	3.198324656	0.179955793	1.598255286	1.601384419	0.037354048
1.608855714	3.223514191	0.18105902	1.608823857	1.604366409	0.034930527
1.618228143	3.238594769	0.178111155	1.618193	1.622593085	0.030902666
1.627308571	3.258967891	0.180919015	1.627459429	1.613297868	0.041832401
1.639113	3.286329261	0.181547979	1.639121143	1.640916647	0.037565375
1.648597286	3.299433893	0.184144086	1.648602143	1.639939735	0.049297361
1.657917429	3.321508934	0.183407228	1.65785	1.680823389	0.04136602
1.669149	3.333503349	0.187557138	1.669127286	1.691483492	0.047008645
1.678708571	3.346361234	0.185149458	1.678647429	1.74025144	0.046812338
1.687694	3.371738331	0.185389967	1.687806857	1.761439648	0.052256836
1.698877	3.396538333	0.182573459	1.698889286	1.848470029	0.04650836
1.708780857	3.404915142	0.184789782	1.708752143	1.86324938	0.052721828
1.717927	3.401580804	0.184140951	1.717765286	1.906163874	0.063672774
1.728811857	3.405658262	0.18436173	1.729085	1.919212219	0.058537309
1.739156143	3.416543715	0.18501435	1.739135	1.92214802	0.061834823
1.748306429	3.413452754	0.185377075	1.748418	1.906521153	0.063513143
1.758804857	3.400450022	0.19435367	1.758813857	1.871493606	0.080190246
1.769364857	3.397689965	0.194550618	1.769365429	1.8464828	0.081587306
1.778776429	3.41384828	0.198839289	1.778626143	1.877465238	0.090265259
1.787778143	3.418868524	0.191231323	1.788269143	1.860345137	0.090512652
1.799649571	3.429789612	0.193426716	1.799633143	1.872247564	0.098621108
1.809221571	3.42455449	0.19019273	1.809058571	1.909558592	0.089046508
1.818148714	3.417227045	0.190952836	1.818128571	1.904318129	0.08698007
1.829800429	3.427779423	0.184395217	1.829803143	1.944220507	0.071963811
1.839526857	3.430994742	0.181747521	1.839454857	1.939306338	0.081056857
1.848457429	3.419535285	0.174380381	1.849228714	1.90488797	0.087329775
1.859509714	3.428034423	0.174477547	1.859767571	1.938730268	0.079739196
1.869685	3.426432185	0.173056351	1.869612143	1.917105207	0.078340516
1.878787571	3.426519515	0.1697735	1.878859714	1.923879118	0.076063523
1.889713429	3.426707592	0.166398454	1.889972571	1.926968417	0.080491078
1.899999429	3.407130307	0.16226874	1.900040286	1.914009489	0.084967151
1.909203429	3.382852328	0.159621027	1.909299857	1.875846517	0.091070077
1.919439286	3.369627198	0.149718636	1.919679571	1.911746157	0.075065578
1.930236714	3.354427965	0.147929286	1.930208714	1.876801971	0.085192584
1.939691286	3.339611588	0.146997486	1.939380143	1.911110228	0.080678909
1.948628143	3.315997725	0.157808151	1.949139	1.929945952	0.099759277
1.960514714	3.316301581	0.152534741	1.960512857	1.919775334	0.104485332
1.970016857	3.330435339	0.154332888	1.970016	1.884497549	0.098628782
1.97928	3.341991895	0.156301028	1.978875857	1.893342967	0.094762507
1.990491571	3.35679011	0.159155106	1.990478714	1.90483867	0.098791024
2.000073	3.368721207	0.162330365	2.000081429	1.914448975	0.11001686
